Date,Year,Month,Day,Day week,Hour,Holiday,Week Day,Impulse,Power (kW) [Y],Temperatura (k) [X],,,,,,,,,
04/12/2015,2015,12,4,6,18,0,6,2968,1781,16.2,,,,,,,,,
04/12/2015,2015,12,4,6,19,0,6,2437,1462,16.2,,,,,,,,,
04/12/2015,2015,12,4,6,20,0,6,1907,1144,15.9,,,,,,,,,
04/12/2015,2015,12,4,6,21,0,6,1636,982,15.6,,,,,,,,,
04/12/2015,2015,12,4,6,22,0,6,1484,890,15.2,,,,,,,,,
04/12/2015,2015,12,4,6,23,0,6,1436,862,14.5,,,,,,,,,
05/12/2015,2015,12,5,7,0,0,7,1354,812,14.4,,,,,,,,,
05/12/2015,2015,12,5,7,1,0,7,1331,799,13.9,,,,,,,,,
05/12/2015,2015,12,5,7,2,0,7,1332,799,13.2,,,,,,,,,
05/12/2015,2015,12,5,7,3,0,7,1312,787,12.6,,,,,,,,,
05/12/2015,2015,12,5,7,4,0,7,1274,764,12.1,,,,,,,,,
05/12/2015,2015,12,5,7,5,0,7,1225,735,11.9,,,,,,,,,
05/12/2015,2015,12,5,7,6,0,7,1235,741,11.4,,,,,,,,,
05/12/2015,2015,12,5,7,7,0,7,1323,794,11.6,,,,,,,,,
05/12/2015,2015,12,5,7,8,0,7,1434,860,11.4,,,,,,,,,
05/12/2015,2015,12,5,7,9,0,7,1429,857,11.3,,,,,,,,,
05/12/2015,2015,12,5,7,10,0,7,1461,877,12.4,,,,,,,,,
05/12/2015,2015,12,5,7,11,0,7,1452,871,13.6,,,,,,,,,
05/12/2015,2015,12,5,7,12,0,7,1487,892,16.2,,,,,,,,,
05/12/2015,2015,12,5,7,13,0,7,1480,888,17.7,,,,,,,,,
05/12/2015,2015,12,5,7,14,0,7,1503,902,17.4,,,,,,,,,
05/12/2015,2015,12,5,7,15,0,7,1512,907,18.5,,,,,,,,,
05/12/2015,2015,12,5,7,16,0,7,1510,906,18.4,,,,,,,,,
05/12/2015,2015,12,5,7,17,0,7,1554,932,16.8,,,,,,,,,
05/12/2015,2015,12,5,7,18,0,7,1511,907,15.0,,,,,,,,,
05/12/2015,2015,12,5,7,19,0,7,1437,862,14.3,,,,,,,,,
05/12/2015,2015,12,5,7,20,0,7,1401,841,14.2,,,,,,,,,
05/12/2015,2015,12,5,7,21,0,7,1350,810,14.3,,,,,,,,,
05/12/2015,2015,12,5,7,22,0,7,1310,786,13.9,,,,,,,,,
05/12/2015,2015,12,5,7,23,0,7,1294,776,13.5,,,,,,,,,
06/12/2015,2015,12,6,1,0,0,1,1285,771,13.0,,,,,,,,,
06/12/2015,2015,12,6,1,1,0,1,1282,769,12.2,,,,,,,,,
06/12/2015,2015,12,6,1,2,0,1,1264,758,11.6,,,,,,,,,
06/12/2015,2015,12,6,1,3,0,1,1266,760,10.9,,,,,,,,,
06/12/2015,2015,12,6,1,4,0,1,1224,734,9.6,,,,,,,,,
06/12/2015,2015,12,6,1,5,0,1,1212,727,8.9,,,,,,,,,
06/12/2015,2015,12,6,1,6,0,1,1214,728,9.4,,,,,,,,,
06/12/2015,2015,12,6,1,7,0,1,1198,719,9.3,,,,,,,,,
06/12/2015,2015,12,6,1,8,0,1,1198,719,9.1,,,,,,,,,
06/12/2015,2015,12,6,1,9,0,1,1208,725,9.1,,,,,,,,,
06/12/2015,2015,12,6,1,10,0,1,1240,744,9.3,,,,,,,,,
06/12/2015,2015,12,6,1,11,0,1,1239,743,9.5,,,,,,,,,
06/12/2015,2015,12,6,1,12,0,1,1247,748,9.6,,,,,,,,,
06/12/2015,2015,12,6,1,13,0,1,1232,739,10.1,,,,,,,,,
06/12/2015,2015,12,6,1,14,0,1,1260,756,11.0,,,,,,,,,
06/12/2015,2015,12,6,1,15,0,1,1298,779,12.2,,,,,,,,,
06/12/2015,2015,12,6,1,16,0,1,1330,798,11.8,,,,,,,,,
06/12/2015,2015,12,6,1,17,0,1,1387,832,11.4,,,,,,,,,
06/12/2015,2015,12,6,1,18,0,1,1384,830,14.4,,,,,,,,,
06/12/2015,2015,12,6,1,19,0,1,1389,833,14.0,,,,,,,,,
06/12/2015,2015,12,6,1,20,0,1,1349,809,13.7,,,,,,,,,
06/12/2015,2015,12,6,1,21,0,1,1329,797,13.5,,,,,,,,,
06/12/2015,2015,12,6,1,22,0,1,1317,790,13.2,,,,,,,,,
06/12/2015,2015,12,6,1,23,0,1,1322,793,13.0,,,,,,,,,
07/12/2015,2015,12,7,2,0,0,2,1312,787,12.4,,,,,,,,,
07/12/2015,2015,12,7,2,1,0,2,1284,770,12.7,,,,,,,,,
07/12/2015,2015,12,7,2,2,0,2,1283,770,12.6,,,,,,,,,
07/12/2015,2015,12,7,2,3,0,2,1254,752,12.4,,,,,,,,,
07/12/2015,2015,12,7,2,4,0,2,1242,745,12.3,,,,,,,,,
07/12/2015,2015,12,7,2,5,0,2,1276,766,12.4,,,,,,,,,
07/12/2015,2015,12,7,2,6,0,2,1354,812,12.1,,,,,,,,,
07/12/2015,2015,12,7,2,7,0,2,1846,1108,12.2,,,,,,,,,
07/12/2015,2015,12,7,2,8,0,2,2545,1527,12.6,,,,,,,,,
07/12/2015,2015,12,7,2,9,0,2,3404,2042,12.5,,,,,,,,,
07/12/2015,2015,12,7,2,10,0,2,3870,2322,12.8,,,,,,,,,
07/12/2015,2015,12,7,2,11,0,2,3882,2329,13.4,,,,,,,,,
07/12/2015,2015,12,7,2,12,0,2,3786,2272,14.1,,,,,,,,,
07/12/2015,2015,12,7,2,13,0,2,3740,2244,14.6,,,,,,,,,
07/12/2015,2015,12,7,2,14,0,2,3468,2081,14.7,,,,,,,,,
