Date,Holiday,Power (kW) [Y],Temperature (C) [X]
2015-12-04 18:00:00,0.0,1781.0,16.2
2015-12-04 19:00:00,0.0,1462.0,16.2
2015-12-04 20:00:00,0.0,1144.0,15.9
2015-12-04 21:00:00,0.0,982.0,15.6
2015-12-04 22:00:00,0.0,890.0,15.2
2015-12-04 23:00:00,0.0,862.0,14.5
2015-12-05 00:00:00,0.0,812.0,14.4
2015-12-05 01:00:00,0.0,799.0,13.9
2015-12-05 02:00:00,0.0,799.0,13.2
2015-12-05 03:00:00,0.0,787.0,12.6
2015-12-05 04:00:00,0.0,764.0,12.1
2015-12-05 05:00:00,0.0,735.0,11.9
2015-12-05 06:00:00,0.0,741.0,11.4
2015-12-05 07:00:00,0.0,794.0,11.6
2015-12-05 08:00:00,0.0,860.0,11.4
2015-12-05 09:00:00,0.0,857.0,11.3
2015-12-05 10:00:00,0.0,877.0,12.4
2015-12-05 11:00:00,0.0,871.0,13.6
2015-12-05 12:00:00,0.0,892.0,16.2
2015-12-05 13:00:00,0.0,888.0,17.7
2015-12-05 14:00:00,0.0,902.0,17.4
2015-12-05 15:00:00,0.0,907.0,18.5
2015-12-05 16:00:00,0.0,906.0,18.4
2015-12-05 17:00:00,0.0,932.0,16.8
2015-12-05 18:00:00,0.0,907.0,15.0
2015-12-05 19:00:00,0.0,862.0,14.3
2015-12-05 20:00:00,0.0,841.0,14.2
2015-12-05 21:00:00,0.0,810.0,14.3
2015-12-05 22:00:00,0.0,786.0,13.9
2015-12-05 23:00:00,0.0,776.0,13.5
2015-12-06 00:00:00,0.0,771.0,13.0
2015-12-06 01:00:00,0.0,769.0,12.2
2015-12-06 02:00:00,0.0,758.0,11.6
2015-12-06 03:00:00,0.0,760.0,10.9
2015-12-06 04:00:00,0.0,734.0,9.6
2015-12-06 05:00:00,0.0,727.0,8.9
2015-12-06 06:00:00,0.0,728.0,9.4
2015-12-06 07:00:00,0.0,719.0,9.3
2015-12-06 08:00:00,0.0,719.0,9.1
2015-12-06 09:00:00,0.0,725.0,9.1
2015-12-06 10:00:00,0.0,744.0,9.3
2015-12-06 11:00:00,0.0,743.0,9.5
2015-12-06 12:00:00,0.0,748.0,9.6
2015-12-06 13:00:00,0.0,739.0,10.1
2015-12-06 14:00:00,0.0,756.0,11.0
2015-12-06 15:00:00,0.0,779.0,12.2
2015-12-06 16:00:00,0.0,798.0,11.8
2015-12-06 17:00:00,0.0,832.0,11.4
2015-12-06 18:00:00,0.0,830.0,14.4
