Date Day,Power (kW) [Y],Temperature (C) [X],Hour,Week Day
2015-12-04,1781.0,16.2,18,4
2015-12-04,1462.0,16.2,19,4
2015-12-04,1144.0,15.9,20,4
2015-12-04,982.0,15.6,21,4
2015-12-04,890.0,15.2,22,4
2015-12-04,862.0,14.5,23,4
2015-12-05,812.0,14.4,0,5
2015-12-05,860.0,11.4,8,5
2015-12-05,857.0,11.3,9,5
2015-12-05,877.0,12.4,10,5
2015-12-05,871.0,13.6,11,5
2015-12-05,892.0,16.2,12,5
2015-12-05,888.0,17.7,13,5
2015-12-05,902.0,17.4,14,5
2015-12-05,907.0,18.5,15,5
2015-12-05,906.0,18.4,16,5
2015-12-05,932.0,16.8,17,5
2015-12-05,907.0,15.0,18,5
2015-12-05,862.0,14.3,19,5
2015-12-05,841.0,14.2,20,5
2015-12-05,810.0,14.3,21,5
2015-12-06,832.0,11.4,17,6
2015-12-06,830.0,14.4,18,6
2015-12-06,833.0,14.0,19,6
2015-12-06,809.0,13.7,20,6
2015-12-07,812.0,12.1,6,0
2015-12-07,1108.0,12.2,7,0
2015-12-07,1527.0,12.6,8,0
2015-12-07,2042.0,12.5,9,0
2015-12-07,2322.0,12.8,10,0
2015-12-07,2329.0,13.4,11,0
2015-12-07,2272.0,14.1,12,0
2015-12-07,2244.0,14.6,13,0
2015-12-07,2081.0,14.7,14,0
2015-12-07,2108.0,14.7,15,0
2015-12-07,2290.0,14.5,16,0
2015-12-07,2027.0,14.3,17,0
2015-12-07,974.0,13.4,21,0
2015-12-07,895.0,12.8,22,0
2015-12-07,853.0,12.3,23,0
2015-12-08,822.0,12.1,0,1
2015-12-08,808.0,11.8,1,1
2015-12-09,1856.0,13.6,12,2
2015-12-09,2307.0,14.3,13,2
2015-12-09,2263.0,14.8,14,2
2015-12-09,840.0,14.9,17,2
2015-12-09,1919.0,15.0,18,2
2015-12-09,1563.0,14.6,19,2
2015-12-09,1234.0,14.4,20,2
2015-12-09,1073.0,14.3,21,2
2015-12-09,1005.0,14.1,22,2
2015-12-09,924.0,13.9,23,2
2015-12-10,875.0,13.8,0,3
2015-12-10,853.0,13.6,1,3
2015-12-10,851.0,13.5,2,3
2015-12-10,833.0,13.4,3,3
2015-12-10,808.0,13.3,4,3
2015-12-10,818.0,13.3,5,3
2015-12-10,877.0,13.2,6,3
2015-12-10,1173.0,13.2,7,3
2015-12-10,1571.0,13.1,8,3
2015-12-10,1931.0,13.1,9,3
2015-12-10,2343.0,13.1,10,3
2015-12-10,2365.0,13.2,11,3
2015-12-10,2272.0,13.5,12,3
2015-12-10,2239.0,13.9,13,3
2015-12-10,2353.0,14.4,14,3
2015-12-10,2281.0,15.0,15,3
2015-12-10,2318.0,15.1,16,3
2015-12-10,2099.0,14.8,17,3
2015-12-10,1823.0,14.6,18,3
2015-12-10,1507.0,14.2,19,3
2015-12-10,1227.0,13.8,20,3
2015-12-10,1048.0,13.5,21,3
2015-12-10,976.0,13.1,22,3
2015-12-10,939.0,12.8,23,3
2015-12-11,867.0,12.6,0,4
2015-12-11,853.0,12.1,1,4
2015-12-11,836.0,11.7,2,4
2015-12-11,828.0,11.7,3,4
2015-12-11,826.0,11.5,4,4
2015-12-11,835.0,11.3,5,4
2015-12-11,881.0,10.8,6,4
2015-12-11,1186.0,10.5,7,4
2015-12-11,1577.0,10.4,8,4
2015-12-11,2050.0,10.5,9,4
2015-12-11,2338.0,11.0,10,4
2015-12-11,2289.0,11.6,11,4
2015-12-11,2190.0,12.0,12,4
2015-12-11,2212.0,13.0,13,4
2015-12-11,2254.0,13.8,14,4
2015-12-11,2342.0,13.6,15,4
2015-12-11,2276.0,13.8,16,4
2015-12-11,2072.0,13.6,17,4
2015-12-11,1810.0,13.6,18,4
2015-12-11,1505.0,13.8,19,4
2015-12-11,1210.0,13.8,20,4
2015-12-11,1040.0,13.4,21,4
2015-12-11,958.0,12.9,22,4
2015-12-11,895.0,12.3,23,4
2015-12-12,840.0,12.3,0,5
2015-12-12,830.0,12.2,1,5
2015-12-12,807.0,12.0,2,5
2015-12-12,815.0,10.5,7,5
