Date;Hour;Session;Price - PT [€/MWh];Price - ES [€/MWh]
2017-01-01;1;0;58,82;58,82
2017-01-01;2;0;58,23;58,23
2017-01-01;3;0;51,95;51,95
2017-01-01;4;0;47,27;47,27
2017-01-01;5;0;46,90;45,49
2017-01-01;6;0;46,60;44,50
2017-01-01;7;0;46,25;44,50
2017-01-01;8;0;46,10;44,72
2017-01-01;9;0;46,10;44,22
2017-01-01;10;0;45,13;45,13
2017-01-01;11;0;46,23;46,23
2017-01-01;12;0;47,91;47,91
2017-01-01;13;0;49,57;49,57
2017-01-01;14;0;48,69;48,69
2017-01-01;15;0;47,20;47,20
2017-01-01;16;0;46,51;46,51
2017-01-01;17;0;46,52;46,52
2017-01-01;18;0;51,59;51,59
2017-01-01;19;0;59,07;59,07
2017-01-01;20;0;62,10;62,10
2017-01-01;21;0;64,20;64,20
2017-01-01;22;0;60,69;60,69
2017-01-01;23;0;59,07;59,07
2017-01-01;24;0;52,00;52,00
2017-01-01;1;1;57,82;57,82
2017-01-01;2;1;57,57;57,57
2017-01-01;3;1;48,95;48,95
2017-01-01;4;1;48,14;48,14
2017-01-01;5;1;47,50;47,50
2017-01-01;6;1;46,60;46,60
2017-01-01;7;1;46,25;46,25
2017-01-01;8;1;46,72;46,72
2017-01-01;9;1;46,10;46,10
2017-01-01;10;1;47,00;47,00
2017-01-01;11;1;48,14;48,14
2017-01-01;12;1;49,00;49,00
2017-01-01;13;1;50,29;50,29
2017-01-01;14;1;49,69;49,69
2017-01-01;15;1;48,50;48,50
2017-01-01;16;1;47,91;47,91
2017-01-01;17;1;47,86;47,86
2017-01-01;18;1;50,59;50,59
2017-01-01;19;1;58,88;58,88
2017-01-01;20;1;61,10;61,10
2017-01-01;21;1;62,45;62,45
2017-01-01;22;1;60,86;60,86
2017-01-01;23;1;60,07;60,07
2017-01-01;24;1;52,66;52,66
2017-01-01;1;2;58,00;58,00
2017-01-01;2;2;58,23;58,23
2017-01-01;3;2;51,95;51,95
2017-01-01;4;2;50,27;50,27
2017-01-01;5;2;49,00;49,00
2017-01-01;6;2;46,60;46,60
2017-01-01;7;2;49,99;46,50
2017-01-01;8;2;47,72;47,72
2017-01-01;9;2;47,05;47,05
2017-01-01;10;2;46,06;46,06
2017-01-01;11;2;49,39;49,39
2017-01-01;12;2;49,91;49,91
2017-01-01;13;2;51,56;51,56
2017-01-01;14;2;51,18;51,18
2017-01-01;15;2;50,17;50,17
2017-01-01;16;2;48,88;48,88
2017-01-01;17;2;48,88;48,88
2017-01-01;18;2;54,22;54,22
2017-01-01;19;2;59,50;59,50
2017-01-01;20;2;62,80;62,80
2017-01-01;21;2;63,28;63,28
2017-01-01;22;2;61,01;61,01
2017-01-01;23;2;59,07;59,07
2017-01-01;24;2;53,00;53,00
2017-01-01;5;3;50,50;50,50
2017-01-01;6;3;49,39;49,39
2017-01-01;7;3;49,39;49,39
2017-01-01;8;3;50,00;50,00
2017-01-01;9;3;47,88;47,88
2017-01-01;10;3;47,88;47,88
2017-01-01;11;3;50,40;50,40
2017-01-01;12;3;51,33;51,33
2017-01-01;13;3;52,43;52,43
2017-01-01;14;3;52,14;52,14
2017-01-01;15;3;51,83;51,83
2017-01-01;16;3;49,00;49,00
2017-01-01;17;3;50,00;50,00
2017-01-01;18;3;55,41;55,41
2017-01-01;19;3;62,50;62,50
2017-01-01;20;3;64,80;64,80
2017-01-01;21;3;64,84;64,84
2017-01-01;22;3;61,00;61,00
2017-01-01;23;3;58,07;58,07
2017-01-01;24;3;51,82;51,82
2017-01-01;8;4;48,10;48,10
2017-01-01;9;4;48,00;48,00
2017-01-01;10;4;47,86;47,86
2017-01-01;11;4;49,43;49,43
2017-01-01;12;4;51,23;51,23
2017-01-01;13;4;52,33;52,33
2017-01-01;14;4;52,04;52,04
2017-01-01;15;4;51,73;51,73
2017-01-01;16;4;49,00;49,00
2017-01-01;17;4;50,00;50,00
2017-01-01;18;4;55,59;55,59
2017-01-01;19;4;61,21;61,21
2017-01-01;20;4;62,10;62,10
2017-01-01;21;4;64,19;64,19
2017-01-01;22;4;61,00;61,00
2017-01-01;23;4;58,57;58,57
2017-01-01;24;4;51,90;51,90
2017-01-01;12;5;54,39;54,39
2017-01-01;13;5;53,25;53,25
2017-01-01;14;5;52,29;52,29
2017-01-01;15;5;54,33;54,33
2017-01-01;16;5;48,00;48,00
2017-01-01;17;5;51,50;51,50
2017-01-01;18;5;57,30;57,30
2017-01-01;19;5;60,00;60,00
2017-01-01;20;5;62,00;62,00
2017-01-01;21;5;59,69;59,69
2017-01-01;22;5;59,00;59,00
2017-01-01;23;5;57,00;57,00
2017-01-01;24;5;52,00;52,00
2017-01-01;16;6;50,00;50,00
2017-01-01;17;6;50,01;50,01
2017-01-01;18;6;57,00;57,00
2017-01-01;19;6;62,90;62,90
2017-01-01;20;6;63,64;63,64
2017-01-01;21;6;64,00;64,00
2017-01-01;22;6;62,00;62,00
2017-01-01;23;6;59,07;59,07
2017-01-01;24;6;52,00;52,00
2017-01-01;22;7;64,00;64,00
