"Tempo","Qualidade do Ar sala V1.10"
"2022-02-06 18:00:00",417
"2022-02-06 19:00:00",421,6363636363636
"2022-02-06 20:00:00",423,1666666666667
"2022-02-06 21:00:00",419,8333333333333
"2022-02-06 22:00:00",418,9166666666667
"2022-02-06 23:00:00",418,75
"2022-02-07 00:00:00",419,0833333333333
"2022-02-07 01:00:00",418,6666666666667
"2022-02-07 02:00:00",419,25
"2022-02-07 03:00:00",420,4166666666667
"2022-02-07 04:00:00",421,8333333333333
"2022-02-07 05:00:00",422,0833333333333
"2022-02-07 06:00:00",423,6666666666667
"2022-02-07 07:00:00",428,8333333333333
"2022-02-07 08:00:00",434,4166666666667
"2022-02-07 09:00:00",432,1666666666667
"2022-02-07 10:00:00",427
"2022-02-07 11:00:00",424,5833333333333
"2022-02-07 12:00:00",424,0833333333333
"2022-02-07 13:00:00",423,3333333333333
"2022-02-07 14:00:00",446,8333333333333
"2022-02-07 15:00:00",449,1666666666667
"2022-02-07 16:00:00",453,5833333333333
"2022-02-07 17:00:00",425,75
"2022-02-07 18:00:00",431,0833333333333
"2022-02-07 19:00:00",436,4166666666667
"2022-02-07 20:00:00",434,0833333333333
"2022-02-07 21:00:00",434,8333333333333
"2022-02-07 22:00:00",432,1666666666667
"2022-02-07 23:00:00",428,8333333333333
"2022-02-08 00:00:00",422,75
"2022-02-08 01:00:00",422,0833333333333
"2022-02-08 02:00:00",419,5833333333333
"2022-02-08 03:00:00",420,6666666666667
"2022-02-08 04:00:00",423,8333333333333
"2022-02-08 05:00:00",424,6666666666667
"2022-02-08 06:00:00",426
"2022-02-08 07:00:00",427,1666666666667
"2022-02-08 08:00:00",428,5
"2022-02-08 09:00:00",427,8333333333333
"2022-02-08 10:00:00",437,8333333333333
"2022-02-08 11:00:00",478,3333333333333
"2022-02-08 12:00:00",455,75
"2022-02-08 13:00:00",535,4166666666666
"2022-02-08 14:00:00",596
"2022-02-08 15:00:00",573,75
"2022-02-08 16:00:00",582,1666666666666
"2022-02-08 17:00:00",559,0833333333334
"2022-02-08 18:00:00",467,8333333333333
"2022-02-08 19:00:00",478,25
"2022-02-08 20:00:00",493,6666666666667
"2022-02-08 21:00:00",516,4166666666666
"2022-02-08 22:00:00",513,75
"2022-02-08 23:00:00",495,3333333333333
"2022-02-09 00:00:00",472,75
"2022-02-09 01:00:00",461,75
"2022-02-09 02:00:00",450,8333333333333
"2022-02-09 03:00:00",444,9166666666667
"2022-02-09 04:00:00",442,75
"2022-02-09 05:00:00",440,25
"2022-02-09 06:00:00",442,25
