"Tempo","V1.10 Energia"
"2022-02-15 14:00:00",396,33162921348315
"2022-02-15 15:00:00",394,6953299492385
"2022-02-15 16:00:00",383,30595744680835
"2022-02-15 17:00:00",269,92062500000003
"2022-02-15 18:00:00",389,2642424242424
"2022-02-15 19:00:00",436,79552511415534
"2022-02-15 20:00:00",398,67663316582957
"2022-02-15 21:00:00",372,93848484848473
"2022-02-15 22:00:00",5,791666666666667
"2022-02-15 23:00:00",5,79
"2022-02-16 00:00:00",5,782
"2022-02-16 01:00:00",5,794999999999999
"2022-02-16 02:00:00",5,783333333333332
"2022-02-16 03:00:00",5,793333333333333
"2022-02-16 04:00:00",5,79
"2022-02-16 05:00:00",5,798333333333333
"2022-02-16 06:00:00",5,3133333333333335
"2022-02-16 07:00:00",268,58705882352945
"2022-02-16 08:00:00",5,776666666666667
"2022-02-16 09:00:00",5,767999999999999
"2022-02-16 10:00:00",5,758333333333334
"2022-02-16 11:00:00",5,771666666666666
"2022-02-16 12:00:00",5,771666666666667
"2022-02-16 13:00:00",5,768
"2022-02-16 14:00:00",5,789999999999999
"2022-02-16 15:00:00",5,77
"2022-02-16 16:00:00",5,79
"2022-02-16 17:00:00",303,25952380952384
"2022-02-16 18:00:00",5,783333333333334
"2022-02-16 19:00:00",5,788333333333333
"2022-02-16 20:00:00",5,775000000000001
"2022-02-16 21:00:00",5,796
"2022-02-16 22:00:00",5,786666666666666
"2022-02-16 23:00:00",5,79
"2022-02-17 00:00:00",5,79
"2022-02-17 01:00:00",5,776
"2022-02-17 02:00:00",5,783333333333334
"2022-02-17 03:00:00",5,798333333333333
"2022-02-17 04:00:00",5,791666666666667
"2022-02-17 05:00:00",5,786666666666666
"2022-02-17 06:00:00",6,294999999999999
"2022-02-17 07:00:00",5,763333333333333
"2022-02-17 08:00:00",5,762
"2022-02-17 09:00:00",5,781666666666666
"2022-02-17 10:00:00",5,7700000000000005
"2022-02-17 11:00:00",5,7749999999999995
"2022-02-17 12:00:00",5,77
"2022-02-17 13:00:00",5,7749999999999995
"2022-02-17 14:00:00",5,765000000000001
"2022-02-17 15:00:00",5,783333333333334
"2022-02-17 16:00:00",5,778333333333332
"2022-02-17 17:00:00",5,78
"2022-02-17 18:00:00",5,783333333333334
"2022-02-17 19:00:00",5,786666666666666
"2022-02-17 20:00:00",5,781666666666666
"2022-02-17 21:00:00",5,804
"2022-02-17 22:00:00",5,786666666666668
"2022-02-17 23:00:00",5,765000000000001
"2022-02-18 00:00:00",5,780000000000001
"2022-02-18 01:00:00",5,783333333333332
"2022-02-18 02:00:00",5,7780000000000005
"2022-02-18 03:00:00",5,803333333333334
"2022-02-18 04:00:00",5,783333333333334
"2022-02-18 05:00:00",5,791666666666667
"2022-02-18 06:00:00",5,77
"2022-02-18 07:00:00",5,773333333333333
"2022-02-18 08:00:00",5,763333333333333
"2022-02-18 09:00:00",5,763333333333333
"2022-02-18 10:00:00",5,763333333333333
"2022-02-18 11:00:00",5,766
"2022-02-18 12:00:00",5,771666666666667
"2022-02-18 13:00:00",5,776666666666666
"2022-02-18 14:00:00",5,785
"2022-02-18 15:00:00",5,77
"2022-02-18 16:00:00",5,788333333333333
"2022-02-18 17:00:00",5,778333333333333
"2022-02-18 18:00:00",5,794999999999999
"2022-02-18 19:00:00",5,771666666666666
"2022-02-18 20:00:00",5,792
"2022-02-18 21:00:00",5,801666666666666
"2022-02-18 22:00:00",5,785
"2022-02-18 23:00:00",5,776666666666666
"2022-02-19 00:00:00",5,768
"2022-02-19 01:00:00",5,785
"2022-02-19 02:00:00",5,789999999999999
"2022-02-19 03:00:00",5,788333333333334
