"Tempo","Qualidade do Ar sala V1.10"
"2022-02-06 18:00:00",37,36
"2022-02-06 19:00:00",37,96000000000001
"2022-02-06 20:00:00",38,29583333333333
"2022-02-06 21:00:00",38,81166666666666
"2022-02-06 22:00:00",37,79250000000001
"2022-02-06 23:00:00",36,94416666666667
"2022-02-07 00:00:00",35,95083333333333
"2022-02-07 01:00:00",35,419999999999995
"2022-02-07 02:00:00",35,07833333333334
"2022-02-07 03:00:00",34,66666666666667
"2022-02-07 04:00:00",33,97416666666667
"2022-02-07 05:00:00",33,86750000000001
"2022-02-07 06:00:00",33,195
"2022-02-07 07:00:00",33,3175
"2022-02-07 08:00:00",32,98083333333333
"2022-02-07 09:00:00",31,429999999999996
"2022-02-07 10:00:00",30,614166666666666
"2022-02-07 11:00:00",32,025
"2022-02-07 12:00:00",34,785000000000004
"2022-02-07 13:00:00",36,91
"2022-02-07 14:00:00",39,19
"2022-02-07 15:00:00",39,458333333333336
"2022-02-07 16:00:00",39,07833333333333
"2022-02-07 17:00:00",36,917500000000004
"2022-02-07 18:00:00",34,57666666666666
"2022-02-07 19:00:00",30,829166666666666
"2022-02-07 20:00:00",29,78
"2022-02-07 21:00:00",29,397500000000004
"2022-02-07 22:00:00",29,463333333333335
"2022-02-07 23:00:00",30,74833333333333
"2022-02-08 00:00:00",31,70416666666667
"2022-02-08 01:00:00",33,31
"2022-02-08 02:00:00",34,065000000000005
"2022-02-08 03:00:00",33,90833333333333
"2022-02-08 04:00:00",34,59583333333334
"2022-02-08 05:00:00",34,902499999999996
"2022-02-08 06:00:00",34,18333333333333
"2022-02-08 07:00:00",33,50833333333333
"2022-02-08 08:00:00",33,65416666666667
"2022-02-08 09:00:00",32,27333333333333
"2022-02-08 10:00:00",31,202499999999997
"2022-02-08 11:00:00",32,40333333333333
"2022-02-08 12:00:00",33,89833333333333
"2022-02-08 13:00:00",35,75333333333334
"2022-02-08 14:00:00",37,20416666666667
"2022-02-08 15:00:00",37,56416666666667
"2022-02-08 16:00:00",38,54416666666666
"2022-02-08 17:00:00",39,65
"2022-02-08 18:00:00",39,18666666666667
"2022-02-08 19:00:00",37,98
"2022-02-08 20:00:00",38,3275
"2022-02-08 21:00:00",38,923333333333325
"2022-02-08 22:00:00",39,64416666666667
"2022-02-08 23:00:00",40,9125
"2022-02-09 00:00:00",42,303333333333335
"2022-02-09 01:00:00",43,5425
"2022-02-09 02:00:00",43,67416666666667
"2022-02-09 03:00:00",43,65833333333334
"2022-02-09 04:00:00",44,17499999999999
"2022-02-09 05:00:00",45,03916666666667
"2022-02-09 06:00:00",45,80250000000001
"2022-02-09 07:00:00",46,044999999999995
"2022-02-09 08:00:00",46,71666666666667
"2022-02-09 09:00:00",44,56916666666666
"2022-02-09 10:00:00",40,9125
"2022-02-09 11:00:00",40,25583333333333
"2022-02-09 12:00:00",42,16416666666667
"2022-02-09 13:00:00",43,232499999999995
"2022-02-09 14:00:00",42,92250000000001
"2022-02-09 15:00:00",41,994166666666665
"2022-02-09 16:00:00",41,36
"2022-02-09 17:00:00",41,95333333333334
"2022-02-09 18:00:00",42,348333333333336
"2022-02-09 19:00:00",40,66583333333333
"2022-02-09 20:00:00",41,208333333333336
"2022-02-09 21:00:00",42,49583333333333
"2022-02-09 22:00:00",43,48083333333333
"2022-02-09 23:00:00",44,5825
"2022-02-10 00:00:00",45,10416666666668
"2022-02-10 01:00:00",45,321666666666665
"2022-02-10 02:00:00",45,58500000000001
"2022-02-10 03:00:00",45,593333333333334
"2022-02-10 04:00:00",45,49166666666667
"2022-02-10 05:00:00",45,76500000000001
"2022-02-10 06:00:00",45,72083333333333
"2022-02-10 07:00:00",45,80166666666667
"2022-02-10 08:00:00",45,714166666666664
"2022-02-10 09:00:00",45,59916666666666
"2022-02-10 10:00:00",46,44833333333333
"2022-02-10 11:00:00",45,6025
"2022-02-10 12:00:00",43,14416666666667
"2022-02-10 13:00:00",43,846666666666664
"2022-02-10 14:00:00",45,04916666666666
"2022-02-10 15:00:00",47,190000000000005
"2022-02-10 16:00:00",49,166666666666664
"2022-02-10 17:00:00",50,10750000000001
"2022-02-10 18:00:00",51,08083333333334
"2022-02-10 19:00:00",47,71666666666666
"2022-02-10 20:00:00",44,296666666666674
"2022-02-10 21:00:00",44,16916666666666
"2022-02-10 22:00:00",44,66166666666666
"2022-02-10 23:00:00",45,794166666666676
"2022-02-11 00:00:00",46,725
"2022-02-11 01:00:00",47,211666666666666
"2022-02-11 02:00:00",47,785833333333336
"2022-02-11 03:00:00",48,38999999999999
"2022-02-11 04:00:00",48,82916666666667
"2022-02-11 05:00:00",48,99583333333334
"2022-02-11 06:00:00",48,92916666666667
"2022-02-11 07:00:00",48,885833333333345
"2022-02-11 08:00:00",50,22750000000001
"2022-02-11 09:00:00",47,218333333333334
"2022-02-11 10:00:00",46,970000000000006
"2022-02-11 11:00:00",44,92583333333334
"2022-02-11 12:00:00",42,10166666666667
"2022-02-11 13:00:00",39,8875
"2022-02-11 14:00:00",41,8375
"2022-02-11 15:00:00",41,037499999999994
"2022-02-11 16:00:00",38,04
"2022-02-11 17:00:00",38,66166666666667
"2022-02-11 18:00:00",43,6175
"2022-02-11 19:00:00",43,873333333333335
"2022-02-11 20:00:00",44,465833333333336
"2022-02-11 21:00:00",45,29833333333334
"2022-02-11 22:00:00",46,76500000000001
"2022-02-11 23:00:00",49,50833333333333
"2022-02-12 00:00:00",52,88833333333333
"2022-02-12 01:00:00",54,46666666666665
"2022-02-12 02:00:00",55,34166666666666
"2022-02-12 03:00:00",56,04666666666666
"2022-02-12 04:00:00",56,51833333333334
"2022-02-12 05:00:00",56,87166666666667
"2022-02-12 06:00:00",57,185833333333335
"2022-02-12 07:00:00",56,36416666666667
"2022-02-12 08:00:00",54,81666666666666
"2022-02-12 09:00:00",52,692499999999995
"2022-02-12 10:00:00",52,21416666666667
"2022-02-12 11:00:00",52,085
"2022-02-12 12:00:00",51,264166666666675
"2022-02-12 13:00:00",50,39000000000001
"2022-02-12 14:00:00",50,135
"2022-02-12 15:00:00",48,31666666666666
"2022-02-12 16:00:00",46,8975
"2022-02-12 17:00:00",46,712500000000006
"2022-02-12 18:00:00",48,080000000000005
"2022-02-12 19:00:00",48,45666666666667
"2022-02-12 20:00:00",48,01083333333333
"2022-02-12 21:00:00",48,395833333333336
"2022-02-12 22:00:00",48,44083333333334
"2022-02-12 23:00:00",48,7575
"2022-02-13 00:00:00",48,982499999999995
"2022-02-13 01:00:00",49,28333333333333
"2022-02-13 02:00:00",50,04666666666666
"2022-02-13 03:00:00",49,84166666666667
"2022-02-13 04:00:00",49,98499999999999
"2022-02-13 05:00:00",50,43090909090909
"2022-02-13 06:00:00",50,88833333333333
"2022-02-13 07:00:00",51,487500000000004
"2022-02-13 08:00:00",51,48818181818183
"2022-02-13 09:00:00",47,77833333333334
"2022-02-13 10:00:00",44,79999999999999
"2022-02-13 11:00:00",44,72818181818182
"2022-02-13 12:00:00",45,568333333333335
"2022-02-13 13:00:00",46,62666666666667
"2022-02-13 14:00:00",47,737500000000004
"2022-02-13 15:00:00",48,6225
"2022-02-13 16:00:00",50,725833333333334
"2022-02-13 17:00:00",54,366666666666674
"2022-02-13 18:00:00",57,04583333333334
"2022-02-13 19:00:00",58,0425
"2022-02-13 20:00:00",58,10583333333333
"2022-02-13 21:00:00",57,2525
"2022-02-13 22:00:00",56,25416666666666
"2022-02-13 23:00:00",55,955833333333324
"2022-02-14 00:00:00",54,9975
"2022-02-14 01:00:00",54,11000000000001
"2022-02-14 02:00:00",52,94166666666666
