"Tempo","Qualidade do Ar sala V1.10"
"2022-02-06 18:00:00",0
"2022-02-06 19:00:00",33,63636363636363
"2022-02-06 20:00:00",18,5
"2022-02-06 21:00:00",23
"2022-02-06 22:00:00",29,083333333333332
"2022-02-06 23:00:00",28,75
"2022-02-07 00:00:00",30,25
"2022-02-07 01:00:00",27,5
"2022-02-07 02:00:00",22,5
"2022-02-07 03:00:00",9,166666666666666
"2022-02-07 04:00:00",26,25
"2022-02-07 05:00:00",18,166666666666668
"2022-02-07 06:00:00",36,666666666666664
"2022-02-07 07:00:00",63,583333333333336
"2022-02-07 08:00:00",95,25
"2022-02-07 09:00:00",110,08333333333333
"2022-02-07 10:00:00",106,75
"2022-02-07 11:00:00",101,66666666666667
"2022-02-07 12:00:00",98,5
"2022-02-07 13:00:00",97,5
"2022-02-07 14:00:00",92,16666666666667
"2022-02-07 15:00:00",84,5
"2022-02-07 16:00:00",80,16666666666667
"2022-02-07 17:00:00",73,58333333333333
"2022-02-07 18:00:00",46,25
"2022-02-07 19:00:00",38,666666666666664
"2022-02-07 20:00:00",33,583333333333336
"2022-02-07 21:00:00",32,333333333333336
"2022-02-07 22:00:00",17,416666666666668
"2022-02-07 23:00:00",22,916666666666668
"2022-02-08 00:00:00",31,5
"2022-02-08 01:00:00",28,75
"2022-02-08 02:00:00",32,416666666666664
"2022-02-08 03:00:00",24,583333333333332
"2022-02-08 04:00:00",35,166666666666664
"2022-02-08 05:00:00",20,916666666666668
"2022-02-08 06:00:00",26,75
"2022-02-08 07:00:00",60,5
"2022-02-08 08:00:00",96,83333333333333
"2022-02-08 09:00:00",110
"2022-02-08 10:00:00",106,25
"2022-02-08 11:00:00",101
"2022-02-08 12:00:00",97,66666666666667
"2022-02-08 13:00:00",96,58333333333333
"2022-02-08 14:00:00",94,16666666666667
"2022-02-08 15:00:00",89,25
"2022-02-08 16:00:00",85,41666666666667
"2022-02-08 17:00:00",82,25
"2022-02-08 18:00:00",43,916666666666664
"2022-02-08 19:00:00",35,083333333333336
"2022-02-08 20:00:00",34,583333333333336
"2022-02-08 21:00:00",32,083333333333336
"2022-02-08 22:00:00",23,333333333333332
"2022-02-08 23:00:00",28,583333333333332
"2022-02-09 00:00:00",32,5
"2022-02-09 01:00:00",26,25
"2022-02-09 02:00:00",23,25
"2022-02-09 03:00:00",17,416666666666668
"2022-02-09 04:00:00",24,583333333333332
"2022-02-09 05:00:00",17,833333333333332
"2022-02-09 06:00:00",30,333333333333332
"2022-02-09 07:00:00",68,5
"2022-02-09 08:00:00",101,75
"2022-02-09 09:00:00",115,25
"2022-02-09 10:00:00",114,25
"2022-02-09 11:00:00",108,33333333333333
"2022-02-09 12:00:00",104,16666666666667
"2022-02-09 13:00:00",102,33333333333333
"2022-02-09 14:00:00",96,91666666666667
"2022-02-09 15:00:00",94
"2022-02-09 16:00:00",90,41666666666667
"2022-02-09 17:00:00",82
"2022-02-09 18:00:00",45,666666666666664
"2022-02-09 19:00:00",21,916666666666668
"2022-02-09 20:00:00",32,083333333333336
"2022-02-09 21:00:00",39,666666666666664
"2022-02-09 22:00:00",36
"2022-02-09 23:00:00",38,583333333333336
"2022-02-10 00:00:00",37,5
"2022-02-10 01:00:00",38,25
"2022-02-10 02:00:00",32
"2022-02-10 03:00:00",34,583333333333336
"2022-02-10 04:00:00",38,583333333333336
"2022-02-10 05:00:00",38,166666666666664
"2022-02-10 06:00:00",20,75
"2022-02-10 07:00:00",66,58333333333333
"2022-02-10 08:00:00",95,91666666666667
"2022-02-10 09:00:00",98,58333333333333
"2022-02-10 10:00:00",101,66666666666667
"2022-02-10 11:00:00",105,16666666666667
"2022-02-10 12:00:00",105,5
"2022-02-10 13:00:00",101,66666666666667
"2022-02-10 14:00:00",99,5
"2022-02-10 15:00:00",95,91666666666667
"2022-02-10 16:00:00",91,5
"2022-02-10 17:00:00",80,75
"2022-02-10 18:00:00",72,41666666666667
"2022-02-10 19:00:00",70,08333333333333
"2022-02-10 20:00:00",72,33333333333333
"2022-02-10 21:00:00",72,83333333333333
"2022-02-10 22:00:00",56,5
"2022-02-10 23:00:00",28,5
"2022-02-11 00:00:00",36,916666666666664
"2022-02-11 01:00:00",22,166666666666668
"2022-02-11 02:00:00",26,25
"2022-02-11 03:00:00",21,083333333333332
"2022-02-11 04:00:00",29,333333333333332
"2022-02-11 05:00:00",27,25
"2022-02-11 06:00:00",31,916666666666668
"2022-02-11 07:00:00",64,33333333333333
"2022-02-11 08:00:00",98
"2022-02-11 09:00:00",107,75
"2022-02-11 10:00:00",106,5
"2022-02-11 11:00:00",101,5
"2022-02-11 12:00:00",97,66666666666667
"2022-02-11 13:00:00",97,33333333333333
"2022-02-11 14:00:00",93,08333333333333
"2022-02-11 15:00:00",88
"2022-02-11 16:00:00",82,91666666666667
"2022-02-11 17:00:00",79,58333333333333
"2022-02-11 18:00:00",41,833333333333336
"2022-02-11 19:00:00",27,666666666666668
"2022-02-11 20:00:00",28,416666666666668
"2022-02-11 21:00:00",31,083333333333332
"2022-02-11 22:00:00",30,833333333333332
"2022-02-11 23:00:00",22,083333333333332
"2022-02-12 00:00:00",33,25
"2022-02-12 01:00:00",27,25
"2022-02-12 02:00:00",25,083333333333332
"2022-02-12 03:00:00",29,5
"2022-02-12 04:00:00",26,5
"2022-02-12 05:00:00",12,916666666666666
"2022-02-12 06:00:00",30,5
"2022-02-12 07:00:00",52,166666666666664
"2022-02-12 08:00:00",90
"2022-02-12 09:00:00",88,91666666666667
"2022-02-12 10:00:00",91,08333333333333
"2022-02-12 11:00:00",94,16666666666667
"2022-02-12 12:00:00",99,08333333333333
"2022-02-12 13:00:00",96,16666666666667
"2022-02-12 14:00:00",95,83333333333333
"2022-02-12 15:00:00",91,25
"2022-02-12 16:00:00",87,83333333333333
"2022-02-12 17:00:00",76
"2022-02-12 18:00:00",48,083333333333336
"2022-02-12 19:00:00",45,25
"2022-02-12 20:00:00",34,416666666666664
"2022-02-12 21:00:00",33,25
"2022-02-12 22:00:00",24,75
"2022-02-12 23:00:00",15
"2022-02-13 00:00:00",6
"2022-02-13 01:00:00",15
"2022-02-13 02:00:00",36,583333333333336
"2022-02-13 03:00:00",36,166666666666664
"2022-02-13 04:00:00",33,333333333333336
"2022-02-13 05:00:00",25,181818181818183
"2022-02-13 06:00:00",38,666666666666664
"2022-02-13 07:00:00",65,33333333333333
"2022-02-13 08:00:00",98,18181818181819
"2022-02-13 09:00:00",109
"2022-02-13 10:00:00",100,41666666666667
"2022-02-13 11:00:00",99,9090909090909
"2022-02-13 12:00:00",91,25
"2022-02-13 13:00:00",90,16666666666667
"2022-02-13 14:00:00",95
"2022-02-13 15:00:00",91,08333333333333
"2022-02-13 16:00:00",84,08333333333333
"2022-02-13 17:00:00",76,08333333333333
"2022-02-13 18:00:00",45,416666666666664
"2022-02-13 19:00:00",29,25
"2022-02-13 20:00:00",28,833333333333332
"2022-02-13 21:00:00",25,083333333333332
"2022-02-13 22:00:00",22,416666666666668
"2022-02-13 23:00:00",23,166666666666668
"2022-02-14 00:00:00",26,25
"2022-02-14 01:00:00",18,75
"2022-02-14 02:00:00",23,75
"2022-02-14 03:00:00",25,416666666666668
"2022-02-14 04:00:00",27,583333333333332
"2022-02-14 05:00:00",31,916666666666668
"2022-02-14 06:00:00",39,25
"2022-02-14 07:00:00",68,66666666666667
"2022-02-14 08:00:00",102
"2022-02-14 09:00:00",107,16666666666667
"2022-02-14 10:00:00",106,83333333333333
"2022-02-14 11:00:00",98,33333333333333
"2022-02-14 12:00:00",102,08333333333333
"2022-02-14 13:00:00",99,83333333333333
"2022-02-14 14:00:00",96,33333333333333
"2022-02-14 15:00:00",89,83333333333333
"2022-02-14 16:00:00",90,5
"2022-02-14 17:00:00",80,5
"2022-02-14 18:00:00",53,5
"2022-02-14 19:00:00",30,75
