"Tempo","Qualidade do Ar sala V1.10"
"2022-02-06 18:00:00",20,33
"2022-02-06 19:00:00",20,24727272727273
"2022-02-06 20:00:00",20,069166666666668
"2022-02-06 21:00:00",19,915833333333335
"2022-02-06 22:00:00",19,78666666666667
"2022-02-06 23:00:00",19,719166666666666
"2022-02-07 00:00:00",19,576666666666664
"2022-02-07 01:00:00",19,394166666666667
"2022-02-07 02:00:00",19,217499999999998
"2022-02-07 03:00:00",19,098333333333333
"2022-02-07 04:00:00",18,95416666666667
"2022-02-07 05:00:00",18,764166666666664
"2022-02-07 06:00:00",18,603333333333335
"2022-02-07 07:00:00",18,465000000000003
"2022-02-07 08:00:00",18,4125
"2022-02-07 09:00:00",19,833333333333332
"2022-02-07 10:00:00",21,04583333333333
"2022-02-07 11:00:00",21,386666666666667
"2022-02-07 12:00:00",20,988333333333333
"2022-02-07 13:00:00",20,926666666666666
"2022-02-07 14:00:00",20,862499999999997
"2022-02-07 15:00:00",20,98166666666667
"2022-02-07 16:00:00",20,9025
"2022-02-07 17:00:00",20,885
"2022-02-07 18:00:00",21,522499999999997
"2022-02-07 19:00:00",22,45333333333333
"2022-02-07 20:00:00",22,4175
"2022-02-07 21:00:00",22,27916666666667
"2022-02-07 22:00:00",21,973333333333333
"2022-02-07 23:00:00",21,121666666666666
"2022-02-08 00:00:00",20,656666666666666
"2022-02-08 01:00:00",20,42083333333333
"2022-02-08 02:00:00",20,206666666666667
"2022-02-08 03:00:00",20,051666666666666
"2022-02-08 04:00:00",19,859166666666667
"2022-02-08 05:00:00",19,62333333333333
"2022-02-08 06:00:00",19,453333333333333
"2022-02-08 07:00:00",19,30416666666667
"2022-02-08 08:00:00",19,319999999999997
"2022-02-08 09:00:00",20,930000000000003
"2022-02-08 10:00:00",21,944999999999997
"2022-02-08 11:00:00",22,1975
"2022-02-08 12:00:00",21,732499999999998
"2022-02-08 13:00:00",21,635833333333334
"2022-02-08 14:00:00",21,678333333333327
"2022-02-08 15:00:00",21,7775
"2022-02-08 16:00:00",21,702500000000004
"2022-02-08 17:00:00",21,476666666666663
"2022-02-08 18:00:00",22,088333333333335
"2022-02-08 19:00:00",22,878333333333334
"2022-02-08 20:00:00",22,775833333333335
"2022-02-08 21:00:00",22,609166666666667
"2022-02-08 22:00:00",22,269166666666663
"2022-02-08 23:00:00",21,429166666666664
"2022-02-09 00:00:00",20,943333333333335
"2022-02-09 01:00:00",20,642500000000002
"2022-02-09 02:00:00",20,411666666666665
"2022-02-09 03:00:00",20,184166666666666
"2022-02-09 04:00:00",19,965
"2022-02-09 05:00:00",19,736666666666668
"2022-02-09 06:00:00",19,545833333333334
"2022-02-09 07:00:00",19,385
"2022-02-09 08:00:00",19,497500000000002
"2022-02-09 09:00:00",21,525833333333335
"2022-02-09 10:00:00",23,522500000000004
"2022-02-09 11:00:00",23,600833333333338
"2022-02-09 12:00:00",22,76
"2022-02-09 13:00:00",22,266666666666666
"2022-02-09 14:00:00",21,94
"2022-02-09 15:00:00",21,778333333333336
"2022-02-09 16:00:00",21,619166666666672
"2022-02-09 17:00:00",21,313333333333336
